Country,Region,Gear,Vessel_size,Other,Type,HKE_kg,Total_kg,Perc_HKE,Fuel_Litres,Fuel_Intensity,Year
PRT,NAO,HOK,1012,NGI,SSF,8090,319209,0.025343897,170879,535.3201194,2008
PRT,NAO,PGP,1012,NGI,SSF,8849,301557,0.029344369,135018,447.7362489,2008
PRT,NAO,PGP,1218,NGI,LSF,46769,1608890,0.02906911,912701,567.2861414,2008
PRT,NAO,PGP,1824,NGI,LSF,NA,NA,NA,NA,NA,2008
DEU,NAO,DTS,2440,NGI,LSF,185149,13144409,0.014085761,3969984,302.0283377,2010
DNK,NAO,DTS,2440,NGI,LSF,1260007.76,101363556.1,0.01243058,18744384.85,184.9223289,2010
DNK,NAO,PGP,1218,NGI,LSF,238448.38,6924888.63,0.034433533,1493662.35,215.6947829,2010
DNK,NAO,PMP,1824,NGI,LSF,106132.89,3023322.67,0.035104718,3468218.81,1147.1547,2010
ESP,NAO,DFN,1012,NGI*,SSF,NA,NA,NA,NA,NA,2010
ESP,NAO,DFN,1218,NGI,LSF,NA,NA,NA,NA,NA,2010
ESP,NAO,DFN,1824,NGI*,LSF,907528.23,3063566.05,0.296232631,2018333.33,658.8182847,2010
ESP,NAO,DTS,1218,NGI*,LSF,122989.09,2313041.16,0.053172028,6348250,2744.546924,2010
ESP,NAO,DTS,1824,NGI,LSF,472772.52,6105542.25,0.077433339,23650000,3873.529824,2010
ESP,NAO,DTS,2440,NGI,LSF,10260782.56,97371920.16,0.105377223,120210427.4,1234.549213,2010
ESP,NAO,FPO,1012,NGI,SSF,NA,NA,NA,NA,NA,2010
ESP,NAO,FPO,1218,NGI,LSF,NA,NA,NA,NA,NA,2010
ESP,NAO,HOK,1012,NGI*,SSF,202244.86,2136237.7,0.094673388,722001,337.9778383,2010
ESP,NAO,HOK,1218,NGI,LSF,795952.26,7930047.87,0.100371684,3260950,411.2144155,2010
ESP,NAO,HOK,1824,NGI,LSF,1211660.62,6770361.98,0.178965412,2613412,386.0077213,2010
ESP,NAO,HOK,2440,NGI,LSF,1190260.01,8320439.45,0.143052542,5984580,719.2624904,2010
ESP,NAO,PGP,2440,NGI*,LSF,11122331.7,26737472.56,0.415982912,19835860.33,741.8749205,2010
ESP,NAO,PMP,10,NGI,SSF,211926.47,11117145.68,0.019063029,17699698.04,1592.108132,2010
ESP,NAO,PMP,1218,NGI*,LSF,444825.3,5502355.94,0.080842698,3876600,704.5345743,2010
FRA,NAO,DFN,10,NGI,SSF,124257.2,3928334.1,0.031631016,3499089,890.7310099,2010
FRA,NAO,DFN,1012,NGI,SSF,224400.1,9492211.6,0.023640444,6575807,692.7581555,2010
FRA,NAO,DFN,1218,NGI*,LSF,360903.5,6983364.2,0.051680464,5811626,832.2100686,2010
FRA,NAO,DFN,1824,NGI,LSF,2625232.7,5933741.3,0.442424529,4895612,825.0464172,2010
FRA,NAO,DFN,2440,NGI*,LSF,7556269.6,9396481.6,0.804159463,4380340,466.1681028,2010
FRA,NAO,DTS,1012,NGI*,SSF,330358.1,8526487.4,0.038744923,11652663,1366.642845,2010
FRA,NAO,DTS,1218,NGI,LSF,1438999.4,21513381.7,0.066888573,30390419,1412.628634,2010
FRA,NAO,DTS,1824,NGI*,LSF,1056100.7,51105303.7,0.020665188,65288789,1277.534508,2010
FRA,NAO,DTS,2440,NGI*,LSF,1465102.2,29736283.1,0.04926985,29745546,1000.311502,2010
FRA,NAO,DTS,40XX,NGI,LSF,1525540.2,24902678.3,0.061260085,21057330.62,845.5849755,2010
FRA,NAO,HOK,10,NGI,SSF,142970.3,3015586.5,0.047410446,3737386,1239.356258,2010
FRA,NAO,HOK,1012,NGI,SSF,107838.2,1992095.2,0.054133055,1774288,890.6642614,2010
FRA,NAO,HOK,2440,NGI*,LSF,1323700.1,2157263.4,0.613601519,NA,NA,2010
FRA,NAO,MGO,10,NGI*,SSF,NA,NA,NA,NA,NA,2010
FRA,NAO,TM,1218,NGI,LSF,130264.9,4588387.5,0.028390126,3202040,697.8573627,2010
FRA,NAO,TM,1824,NGI*,LSF,139001.2,10833041.3,0.012831226,11049173,1019.951156,2010
GBR,NAO,DFN,10,NGI,SSF,1222.9,5871546.8,0.000208276,2813625,479.1965552,2010
GBR,NAO,DFN,1012,NGI*,SSF,175702,2256665.9,0.077859111,1185890,525.5053484,2010
GBR,NAO,DFN,2440,NGI*,LSF,174066.7,3146533.2,0.055320154,1825200,580.0669766,2010
GBR,NAO,DTS,1824,NGI,LSF,847107.8,48849566.3,0.017341153,47095800,964.0986311,2010
GBR,NAO,DTS,2440,NGI,LSF,2126860.7,63628266.2,0.03342635,58065400,912.5724064,2010
GBR,NAO,HOK,2440,NGI*,LSF,3324008.9,5391448,0.61653361,5782900,1072.606098,2010
IRL,NAO,DFN,10,NA,SSF,NA,NA,NA,379883.81,NA,2010
IRL,NAO,DFN,1012,NA,SSF,5626.88,278891.61,0.020175867,125312.6,449.3236638,2010
IRL,NAO,DFN,1824,*,LSF,543302.37,1892447.99,0.287089723,1333753.97,704.7770808,2010
IRL,NAO,DTS,10,NA,SSF,NA,NA,NA,NA,NA,2010
IRL,NAO,DTS,1218,NA,LSF,90020.1,4242757.37,0.021217358,2931056.31,690.8375979,2010
IRL,NAO,DTS,1824,NA,LSF,460456.07,20413813.28,0.022556103,18445720.16,903.5901283,2010
IRL,NAO,DTS,2440,NA,LSF,907751.78,19358015.13,0.046892813,16219163.1,837.8525893,2010
IRL,NAO,TBB,2440,*,LSF,39859.68,2285203.84,0.017442505,4637307.17,2029.275065,2010
PRT,NAO,DFN,10,NGI,SSF,63405,1275287,0.04971822,579429,454.3518439,2010
PRT,NAO,DFN,1012,NGI,SSF,24163,468552,0.051569516,278714,594.8411276,2010
PRT,NAO,DFN,1218,NGI,LSF,311431,3133141,0.099398974,1950354,622.4916146,2010
PRT,NAO,DFN,1824,NGI,LSF,576309,1857705,0.310226328,1644761,885.372543,2010
PRT,NAO,DTS,10,NGI,SSF,2905,136641,0.02126009,52610,385.0235288,2010
PRT,NAO,DTS,1012,NGI,SSF,NA,NA,NA,NA,NA,2010
PRT,NAO,DTS,1218,NGI,LSF,26725,721384,0.037046843,798760,1107.260488,2010
PRT,NAO,DTS,1824,NGI,LSF,37340,946860,0.039435608,1819983,1922.124707,2010
PRT,NAO,DTS,2440,NGI,LSF,721357,16550568,0.04358503,22796582,1377.389707,2010
PRT,NAO,FPO,1218,NGI*,LSF,47704,2832539,0.016841427,1190771,420.3899752,2010
PRT,NAO,HOK,1012,NGI,SSF,30829,417297,0.073877838,262577,629.2328965,2010
PRT,NAO,PGP,1012,NGI,SSF,12982,230563,0.056305652,160516,696.1914965,2010
PRT,NAO,PGP,1218,NGI,LSF,68057,2276022,0.029901732,1178776,517.9106353,2010
PRT,NAO,PGP,1824,NGI,LSF,NA,NA,NA,NA,NA,2010
DEU,NAO,DTS,2440,NGI,LSF,301565,9947858,0.030314566,5377031,540.5214871,2012
DNK,NAO,DTS,2440,NGI,LSF,1535838.894,42737358.05,0.035936683,20058766,469.3496958,2012
DNK,NAO,PGP,1218,NGI,LSF,243046.71,3525668.65,0.068936345,1231201,349.2106384,2012
DNK,NAO,PMP,1824,NGI,LSF,74703.22,3476072.571,0.021490696,2056419,591.5926547,2012
ESP,NAO,DFN,1012,NGI*,SSF,113180.79,2383242.42,0.047490255,1178270,494.39788,2012
ESP,NAO,DFN,1218,NGI,LSF,593952.7,5909526.4,0.100507665,12331200,2086.664678,2012
ESP,NAO,DFN,1824,NGI*,LSF,657144.18,3425260.69,0.191852311,3321035.55,969.5716182,2012
ESP,NAO,DTS,1218,NGI*,LSF,104989.68,2884401.86,0.036399117,8295000,2875.812873,2012
ESP,NAO,DTS,1824,NGI,LSF,366190.2,6381262.07,0.057385231,15795000,2475.21569,2012
ESP,NAO,DTS,2440,NGI,LSF,6409310.51,80468535.24,0.079649897,122452622.7,1521.745392,2012
ESP,NAO,FPO,1012,NGI,SSF,16774.49,1258790.9,0.013325875,1959400,1556.573058,2012
ESP,NAO,FPO,1218,NGI,LSF,38719.46,1036412.24,0.03735913,911343.75,879.3255375,2012
ESP,NAO,HOK,1012,NGI*,SSF,154065.58,1999387.3,0.077056396,2183470.5,1092.069806,2012
ESP,NAO,HOK,1218,NGI,LSF,475898.34,5001592.04,0.095149372,3265861.5,652.9643909,2012
ESP,NAO,HOK,1824,NGI,LSF,467867.4,5776003.44,0.081001925,5829282,1009.224122,2012
ESP,NAO,HOK,2440,NGI,LSF,13963821.94,44490688.26,0.313859427,34003065.33,764.2737539,2012
ESP,NAO,PGP,2440,NGI*,LSF,NA,NA,NA,NA,NA,2012
ESP,NAO,PMP,10,NGI,SSF,NA,NA,NA,NA,NA,2012
ESP,NAO,PMP,1218,NGI*,LSF,NA,NA,NA,NA,NA,2012
FRA,NAO,DFN,10,NGI,SSF,73754.9,4603891.9,0.01602012,2488903.235,540.6085306,2012
FRA,NAO,DFN,1012,NGI,SSF,186800.2,11113643.9,0.016808187,6913864.823,622.1060244,2012
FRA,NAO,DFN,1218,NGI*,LSF,751464.5,7579047,0.099150263,4443561.937,586.2956038,2012
FRA,NAO,DFN,1824,NGI,LSF,3761430.2,7075350.4,0.531624582,5151072.241,728.030691,2012
FRA,NAO,DFN,2440,NGI*,LSF,10677886.5,12706693.4,0.840335575,6107725.055,480.6699007,2012
